df1cd3b4-5ef4-4cf0-b13a-931ea7c5928e;19;Marina 101;Dubai;UAE;426.5;1399.2782258987427;101;2015;;;0.0;;0.0;0.0;http://www.dubaimarinaapartments.co.uk/wp-content/uploads/2013/08/marina-101.jpg
c0e12f51-3937-42c0-9971-fd8a39914836;20;432 Park Avenue;New York City;United States;426.0;1397.6378059387207;88;2015;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/432_Park_Avenue_Viewed_at_Night.jpg/800px-432_Park_Avenue_Viewed_at_Night.jpg
cb2997b1-4e37-45e0-b90d-43362a14df9b;21;Trump International Hotel and Tower;Chicago;United States;423.0;1387.7952861785889;98;2009;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/20090612_Chicago_Loop_view_of_the_L_Tracks%2C_35_East_Wacker%2C_and_Trump_International_Hotel_and_Tower_from_Wabash_Avenue.jpg/360px-20090612_Chicago_Loop_view_of_the_L_Tracks%2C_35_East_Wacker%2C_and_Trump_International_Hotel_and_Tower_from_Wabash_Avenue.jpg
67294494-f4d1-41bb-baf3-65321f6a274c;22;Jin Mao Tower;Shanghai;China;420.5;1379.593186378479;88;1999;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/4/45/Jin_Mao_Tower.jpg
17d31c99-2003-4ee2-b9af-28033c332f1b;23;Princess Tower;Dubai;UAE;414.0;1358.2677268981934;101;2012;;;0.0;;0.0;0.0;http://dubaimarina-properties.com/uploads/marina%20images/Princess%20Tower/Dubai%20Marina%20(17).JPG
c6830a81-6f1a-4a6a-8e85-eb0c2ef746db;24;Al Hamra Tower;Kuwait City;Kuwait;413.0;1354.9868869781494;80;2011;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Alhamra_Tower.jpg/400px-Alhamra_Tower.jpg
faebc7d2-109c-4525-a10a-cdfa0dee0e46;25;Two International Finance Centre;Hong Kong;Hong Kong;412.0;1351.7060470581055;88;2003;;;0.0;;0.0;0.0;http://c1038.r38.cf3.rackcdn.com/group1/building6347/media/2ifc_at_twilight.jpg
8279099a-1a96-4c3e-b7a0-17e21b3502a4;26;23 Marina;Dubai;UAE;395.0;1295.9317684173584;89;2012;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/23_Marina_2%2C_Nov_2014.jpg/480px-23_Marina_2%2C_Nov_2014.jpg
9606ed9b-6bc1-45a4-b693-2d360656e5dd;27;CITIC Plaza;Guangzhou;China;391.0;1282.8084087371826;80;1997;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Guangzhou_CITIC_Plaza_DSC02461.jpg/480px-Guangzhou_CITIC_Plaza_DSC02461.jpg
416cdd7d-6cb3-4eb4-9b25-8152c3d9b3ca;28;Shun Hing Square;Shenzhen;China;384.0;1259.842529296875;69;1996;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/c/c5/Shun_Hing_Square.jpg
cc18af6b-5280-46da-b91d-d3d7d9af8ff8;29;Eton Place Dalian Tower 1;Dalian;China;383.0;1256.561689376831;81;2015;;;0.0;;0.0;0.0;http://i140.photobucket.com/albums/r5/z0rgg/GoldenJubilee81f.jpg
17e38225-71ea-41ed-8986-871062fec595;30;Burj Mohammed bin Rashid;Abu Dhabi;UAE;381.2;1250.656177520752;88;2014;;;0.0;;0.0;0.0;https://www.accsal.com/wp-content/uploads/2016/01/Burj-Mohammad-1.jpg
